Node,Path,Commodity,Flow
m1,in,"('l1', 'k2')",8.8527255
m1,in,"('l1', 'k3')",10.757099
m1,in,"('l1', 'k4')",6.4609069
m1,in,"('l1', 'k5')",11.86593
m1,in,"('l2', 'k2')",10.699991
m1,in,"('l2', 'k3')",11.45701
m1,in,"('l2', 'k4')",12.233406
m2,in,"('l1', 'k1')",7.1359356
m2,in,"('l1', 'k3')",13.583298
m2,in,"('l1', 'k4')",10.337853
m2,in,"('l1', 'k5')",9.3445859
m2,in,"('l2', 'k1')",6.8719257
m2,in,"('l2', 'k3')",11.271673
m2,in,"('l2', 'k5')",12.294554
m3,in,"('l1', 'k1')",5.1090705
m3,in,"('l1', 'k2')",9.8027704
m3,in,"('l1', 'k5')",13.192242
m3,in,"('l2', 'k1')",11.033858
m3,in,"('l2', 'k4')",3.9107233
m3,in,"('l2', 'k5')",10.172967
m4,in,"('l1', 'k1')",11.132572
m4,in,"('l1', 'k2')",9.0832122
m4,in,"('l1', 'k3')",12.126229
m4,in,"('l1', 'k5')",8.8184415
m4,in,"('l2', 'k1')",3.5428123
m4,in,"('l2', 'k2')",8.8530471
m4,in,"('l2', 'k3')",6.4210886
m5,in,"('l1', 'k1')",12.998605
m5,in,"('l1', 'k2')",10.539428
m5,in,"('l1', 'k3')",13.705216
m5,in,"('l1', 'k4')",9.0920468
m5,in,"('l2', 'k2')",2.1641986
m5,in,"('l2', 'k3')",6.9689527
m5,in,"('l2', 'k4')",13.878846
m6,in,"('l1', 'k1')",6.4896651
m6,in,"('l1', 'k2')",13.75354
m6,in,"('l1', 'k3')",5.3926859
m6,in,"('l1', 'k4')",6.1253882
m6,in,"('l1', 'k5')",7.9084538
m6,in,"('l2', 'k2')",14.203231
m6,in,"('l2', 'k3')",5.2025478
m6,in,"('l2', 'k4')",12.619481
m6,in,"('l2', 'k5')",8.1637426
m7,in,"('l1', 'k1')",6.3539991
m7,in,"('l1', 'k2')",5.8816219
m7,in,"('l1', 'k3')",11.294863
m7,in,"('l1', 'k4')",10.046355
m7,in,"('l1', 'k5')",10.223095
m7,in,"('l2', 'k3')",7.6188823
m7,in,"('l2', 'k5')",8.9149502
m8,in,"('l1', 'k1')",8.7104086
m8,in,"('l1', 'k3')",7.7732364
m8,in,"('l1', 'k4')",11.813782
m8,in,"('l1', 'k5')",10.452106
m8,in,"('l2', 'k1')",10.27115
m8,in,"('l2', 'k2')",5.0772489
m8,in,"('l2', 'k3')",12.575675
m8,in,"('l2', 'k5')",7.6071863
m9,in,"('l1', 'k1')",11.205784
m9,in,"('l1', 'k2')",6.6001081
m9,in,"('l1', 'k3')",14.285057
m9,in,"('l1', 'k4')",11.502434
m9,in,"('l1', 'k5')",10.628514
m9,in,"('l2', 'k3')",14.423404
m10,in,"('l1', 'k1')",8.8515249
m10,in,"('l1', 'k2')",2.8887612
m10,in,"('l1', 'k3')",6.1340585
m10,in,"('l1', 'k5')",5.5127702
m10,in,"('l2', 'k1')",8.987443
m10,in,"('l2', 'k2')",14.127683
